population	pop_no	CWT_indicator	group	run_time	year	w_spawn	ER	tot_run	ten_yr_avg
harrison	1	harrison	salish	fall	1985	173916	0.711	601018	0
harrison	1	harrison	salish	fall	1986	162358	0.785	754578	0
harrison	1	harrison	salish	fall	1987	77610	0.636	213000	0
harrison	1	harrison	salish	fall	1988	35010	0.727	128110	0
harrison	1	harrison	salish	fall	1989	74615	0.757	307424	0
harrison	1	harrison	salish	fall	1990	175087	0.572	408757	0
harrison	1	harrison	salish	fall	1991	90089	0.724	325870	0
harrison	1	harrison	salish	fall	1992	128277	0.646	362467	0
harrison	1	harrison	salish	fall	1993	109429	0.504	220598	0
harrison	1	harrison	salish	fall	1994	95692	0.557	215947	0
harrison	1	harrison	salish	fall	1995	27847	0.569	64588	0
harrison	1	harrison	salish	fall	1996	32029	0.326	47508	0
harrison	1	harrison	salish	fall	1997	66085	0.578	156486	0
harrison	1	harrison	salish	fall	1998	185655	0.138	215360	0
harrison	1	harrison	salish	fall	1999	95787	0.302	137328	0
harrison	1	harrison	salish	fall	2000	75689	0.488	147858	0
harrison	1	harrison	salish	fall	2001	101975	0.266	138948	0
harrison	1	harrison	salish	fall	2002	81690	0.409	138310	0
harrison	1	harrison	salish	fall	2003	238966	0.389	391203	0
harrison	1	harrison	salish	fall	2004	132146	0.487	257433	0
harrison	1	harrison	salish	fall	2005	79395	0.409	134418	0
harrison	1	harrison	salish	fall	2006	54008	0.48	103765	0
harrison	1	harrison	salish	fall	2007	72831	0.163	87059	0
harrison	1	harrison	salish	fall	2008	35129	0.576	82900	0
harrison	1	harrison	salish	fall	2009	68299	0.161	81426	0
harrison	1	harrison	salish	fall	2010	101315	0.24	133281	0
harrison	1	harrison	salish	fall	2011	121065	0.234	157956	0
harrison	1	harrison	salish	fall	2012	43092	0.226	55708	0
harrison	1	harrison	salish	fall	2013	41527	0.235	54300	0
harrison	1	harrison	salish	fall	2014	43368	0.334	65139	0
harrison	1	harrison	salish	fall	2015	100038	0.241	131788	0
harrison	1	harrison	salish	fall	2016	40004	0.216	51018	0
harrison	1	harrison	salish	fall	2017	28605	0.433	50447	0
harrison	1	harrison	salish	fall	2018	44258	0.284	61843	0
harrison	1	harrison	salish	fall	2019	43645	0.281	60688	0
nicola	2	nicola	salish	spring	1989	3940	0.338	5954	0
nicola	2	nicola	salish	spring	1990	2948	0.404	4947	0
nicola	2	nicola	salish	spring	1991	761	0.35	1171	0
nicola	2	nicola	salish	spring	1992	4896	0.491	9621	0
nicola	2	nicola	salish	spring	1993	2648	0.373	4222	0
nicola	2	nicola	salish	spring	1994	3335	0.178	4056	0
nicola	2	nicola	salish	spring	1995	4504	0.148	5286	0
nicola	2	nicola	salish	spring	1996	17238	0.263	23394	0
nicola	2	nicola	salish	spring	1997	9175	0.255	12309	0
nicola	2	nicola	salish	spring	1998	1376	0.347	2107	0
nicola	2	nicola	salish	spring	1999	3116	0.107	3490	0
nicola	2	nicola	salish	spring	2000	5450	0.197	6789	0
nicola	2	nicola	salish	spring	2001	5888	0.164	7042	0
nicola	2	nicola	salish	spring	2002	9652	0.092	10635	0
nicola	2	nicola	salish	spring	2003	11058	0.148	12980	0
nicola	2	nicola	salish	spring	2004	9708	0.323	14350	0
nicola	2	nicola	salish	spring	2005	3104	0.422	5374	0
