population,pop_no,cons_unit,group_1,run_time,juv_lh,year,w_spawn,h_spawn,tot_spawn,method,quality
harrison,1,lower_fraser,1,fall,ocean_early,1979,78000,0,78000,peak_live,med_low
harrison,1,lower_fraser,1,fall,ocean_early,1980,52000,0,52000,peak_live,med_low
harrison,1,lower_fraser,1,fall,ocean_early,1981,104000,0,104000,peak_live,med_low
harrison,1,lower_fraser,1,fall,ocean_early,1982,114400,0,114400,peak_live,med_low
harrison,1,lower_fraser,1,fall,ocean_early,1983,31200,0,31200,peak_live,med_low
harrison,1,lower_fraser,1,fall,ocean_early,1984,122099,302,122401,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,1985,173916,1501,175417,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,1986,162358,969,163327,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,1987,77610,2344,79954,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,1988,35010,571,35581,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,1989,74615,1468,76083,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,1990,175087,3765,178852,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,1991,90089,1988,92077,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,1992,128277,4106,132383,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,1993,109429,11057,120486,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,1994,95692,3965,99657,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,1995,27847,988,28835,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,1996,32029,6612,38641,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,1997,66085,5870,71955,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,1998,185655,15606,201261,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,1999,95787,9749,105536,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,2000,75689,3452,79141,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,2001,101975,7861,109836,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,2002,81690,2720,84410,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,2003,238966,8952,247918,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,2004,132146,8124,140270,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,2005,79395,9391,88786,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,2006,54008,6629,60637,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,2007,72831,3834,76665,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,2008,35129,6676,41805,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,2009,68299,1982,70281,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,2010,101315,2377,103692,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,2011,121065,2814,123879,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,2012,43092,1599,44691,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,2013,41527,1633,43160,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,2014,43368,1547,44915,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,2015,100038,1836,101874,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,2016,40004,1694,41698,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,2017,28605,1535,30140,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,2018,44258,2733,46991,mark_recapture,med_high
harrison,1,lower_fraser,1,fall,ocean_early,2019,43645,2227,45872,mark_recapture,med_high
birkenhead,2,lower_fraser,1,spring,stream,1979,241,0,241,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,1980,340,0,340,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,1981,135,0,135,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,1982,475,0,475,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,1983,640,0,640,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,1984,350,0,350,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,1985,283,0,283,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,1986,223,0,223,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,1987,113,0,113,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,1988,501,0,501,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,1989,509,0,509,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,1990,353,0,353,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,1991,265,0,265,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,1992,738,0,738,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,1993,268,0,268,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,1994,371,0,371,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,1995,162,0,162,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,1996,292,0,292,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,1997,573,0,573,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,1998,567,0,567,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,1999,147,0,147,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,2000,404,0,404,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,2001,703,0,703,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,2002,512,0,512,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,2003,480,0,480,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,2004,202,0,202,peak_live,med_low
birkenhead,2,lower_fraser,1,spring,stream,2005,1491,0,1491,peak_live,med_low
